Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
HySIS (Hyperspectral Imaging Satellite)	HySIS	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Hyperspectral Imaging	LEO	0	647	648	7.125044531528322E-5	98	95	380	2018-11-28T23:00:00Z	5	Indian Space Research Organization (ISRO)	India	Satish Dhawan Space Centre	PSLV	Earth-facing imager capable of collecting data at 316 bands across the visible, near-infrared and shortwave infrared spectra.
Icesat-2	Icesat-2	USA	National Aeronautics and Space Administration (NASA)	Government	Earth Science	Laser Imaging	LEO	0	455	468	9.514747859181732E-4	93.02	93.8	1515	2018-09-14T22:00:00Z	3	Northrup Grumman Information Systems	USA	Vandenberg AFB	Delta 2	Will measure depth of ice with lasers from space.
ICEYE-X1 (ICEYE POC 1, XR1)	ICEYE-X1	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	494	506	8.733624454148472E-4	97.5	95.2	80	2018-01-11T23:00:00Z		ICEYE Ltd.	Finland	Satish Dhawan Space Centre	PSLV	ICEYE surveillance of satellites r LEO.
ICEYE-X10 (ICEYE POC 10, XR1)	ICEYE-X10	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	517	534	0.0012326879849177	97.5	95.2	80	2021-01-23T23:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICEYE-X11 (ICEYE POC 11, XR1)	ICEYE-X11	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging (SAR)	LEO	0	523	536	9.420972534241611E-4	97.5	95.2	80	2021-06-29T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICEYE-X12 (ICEYE POC 12, XR1)	ICEYE-X12	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging (SAR)	LEO	0	523	536	9.420972534241611E-4	97.5	95.2	80	2021-06-29T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICEYE-X13 (ICEYE POC 13, XR1)	ICEYE-X13	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging (SAR)	LEO	0	523	536	9.420972534241611E-4	97.5	95.2	80	2021-06-29T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICEYE-X14 (ICEYE POC 14, XR1)	ICEYE-X14	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging (SAR)	LEO	0	520	535	0.0010873504893077202	97.5	95.2	80	2022-01-12T23:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICEYE-X15 (ICEYE POC 15, XR1)	ICEYE-X15	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging (SAR)	LEO	0	523	536	9.420972534241611E-4	97.5	95.2	80	2021-06-29T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICEYE-X16 (ICEYE POC 16, XR1)	ICEYE-X16	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging (SAR)	LEO	0	521	535	0.001014786894752102	97.5	95.2	80	2022-01-12T23:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICEYE-X17 (ICEYE POC 17)	ICEYE-X17	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	523	535	8.69691259602841E-4	97.5	95.2	80	2022-05-24T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	
ICEYE-X18 (ICEYE POC 18)	ICEYE-X18	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	520	535	0.0010873504893077202	97.5	95.2	80	2022-05-24T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	
ICEYE-X19 (ICEYE POC 19)	ICEYE-X19	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	523	535	8.69691259602841E-4	97.5	95.2	80	2022-05-24T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	
ICEYE-X2 (ICEYE POC 2)	ICEYE-X2	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging (SAR)	LEO	0	570	587	0.001223285601208894	97.7	96.3	80	2018-12-02T23:00:00Z		ICEYE Ltd.	Finland	Vandenberg AFB	Falcon 9	X-band synthetic radar aperture microsatellite.
ICEYE-X20 (ICEYE POC 20)	ICEYE-X20	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	522	535	9.422338189461477E-4	97.5	95.2	80	2022-05-24T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	
ICEYE-X21	ICEYE-X21	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	521	537	0.0011595883461371214	97.5	95.2	80	2023-01-02T23:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	
ICEYE-X24 (ICEYE POC 24)	ICEYE-X24	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	522	535	9.422338189461477E-4	97.5	95.2	80	2022-05-24T22:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	
ICEYE-X27	ICEYE-X27	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	521	537	0.0011595883461371214	97.5	95.2	80	2023-01-02T23:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	
ICEYE-X4 (ICEYE POC 4)	ICEYE-X4	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	564	594	0.0021585839689163906	97.7	96.2	80	2019-07-04T22:00:00Z		ICEYE Ltd.	Finland	Vostochny Cosmodrome	Soyuz-2.1b	ICEYE surveillance of satellites r LEO.
ICEYE-X5 (ICEYE POC 5)	ICEYE-X5	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	564	590	0.0018713113574204694	97.7	96.2	80	2019-07-04T22:00:00Z		ICEYE Ltd.	Finland	Vostochny Cosmodrome	Soyuz-2.1b	ICEYE surveillance of satellites r LEO.
ICEYE-X6 (ICEYE POC 6)	ICEYE-X6	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	549	568	0.0013711481561665584	97.7	95.8	80	2020-09-27T22:00:00Z		ICEYE Ltd.	Finland	Plesetsk Cosmodrome	Soyuz-2.1b	ICEYE surveillance of satellites r LEO.
ICEYE-X7 (ICEYE POC 7)	ICEYE-X7	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	549	567	0.0012990762124711315	97.7	95.8	80	2020-09-27T22:00:00Z		ICEYE Ltd.	Finland	Plesetsk Cosmodrome	Soyuz-2.1b	ICEYE surveillance of satellites r LEO.
ICEYE-X8 (ICEYE POC 8)	ICEYE-X8	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	515	534	0.0013779099282036405	97.5	95.1	80	2021-01-23T23:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICEYE-X9 (ICEYE POC 9)	ICEYE-X9	Finland	ICEYE Ltd.	Commercial	Earth Observation	Radar Imaging	LEO	0	523	536	9.420972534241611E-4	97.5	95.2	80	2021-01-23T23:00:00Z		ICEYE Ltd.	Finland	Cape Canaveral	Falcon 9	ICEYE surveillance of satellites r LEO.
ICON (Ionospheric Connection Explorer)	ICON	USA	National Aeronautics and Space Administration (NASA)	Government	Space Science	Radar Imaging	LEO	0	579	601	0.0015804597701149425	27	96.5	288	2019-10-10T22:00:00Z		National Aeronautics and Space Administration (NASA)	USA	Stargazer L-1011	Pegasus	Will conduct space research on ionosphere.
IGS Optical 5 (IGS-9B, Information Gathering Satellite 9B)	IGS Optical 5	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Optical Imaging	LEO	0	511	515	2.905709719599012E-4	97.5	95.2	1600	2015-03-25T23:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Optical reconnaissance.
IGS Optical 6 (IGS-10B, Information Gathering Satellite 10B)	IGS Optical 6	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Optical Imaging	LEO	0	485	499	0.0010201107548819587	97.2	94.5	1600	2018-02-25T23:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Optical reconnaissance.
IGS Optical 7 (IGS-11B Information Gathering Satellite 14)	IGS Optical 7	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Optical Imaging	LEO	0	487	493	4.3731778425655976E-4	97.4	94.4	1600	2020-02-08T23:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Optical reconnaissance.
IGS Radar 5 (Information Gathering Satellite 10A)	IGS Radar 5	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Radar Imaging	LEO	0	485	499	0.0010201107548819587	97.2	94.5	1600	2017-03-15T23:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Radar reconnaissance.
IGS Radar 6 (Information Gathering Satellite 6, IGS Radar 6)	IGS Radar 6	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Radar Imaging	LEO	0	500	500	0	97.3	94.6	1600	2018-06-11T22:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Radar reconnaissance.
IGS Radar 7 (Information Gathering Satellite)	IGS Radar 7	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Radar Imaging	LEO	0	477	479	1.4602803738317756E-4	97.3	94.3	1500	2023-01-25T23:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Radar reconnaissance.
IGS-6A (Information Gathering Satellite 6A, IGS Optical 4)	IGS-6A	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Optical Imaging	LEO	0	588	591	2.1553272505208708E-4	97.69	96.47	1600	2011-09-22T22:00:00Z	5	Mitsubishi/Toshiba	Japan	Tanegashima Space Center	H2A	Radar reconnaissance.
IGS-7A (Information Gathering Satellite 7A, IGS Radar 3)	IGS-7A	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Radar Imaging	LEO	0	512	514	1.452854859799506E-4	97.46	94.89	1600	2011-12-11T23:00:00Z	5	Mitsubishi/Toshiba	Japan	Tanegashima Space Center	H2A	Radar reconnaissance.
IGS-8A (Information Gathering Satellite 8A, IGS Radar 4)	IGS-8A	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Radar Imaging	LEO	0	509	514	3.632928867252779E-4	97.5	94.85	1600	2013-01-26T23:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Radar reconnaissance.
IGS-8B (Information Gathering Satellite 8B, IGS Optical 5 Demonstrator)	IGS-8B	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Optical Imaging	LEO	0	512	523	7.985480943738657E-4	97.5	94.85	1600	2013-01-26T23:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Optical demonstration satellite.
IGS-9A (Information Gathering Satellite 9A, IGS Radar Spare)	IGS-9A	Japan	Cabinet Satellite Intelligence Center (CSIC)	Government	Earth Observation	Radar Imaging	LEO	0	510	510	0	97.5	94.85	1600	2015-01-30T23:00:00Z	5	Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	Radar reconnaissance.
İMECE	İMECE	Turkey	TÜBİTAK Space Technologies Research Institute	Civil	Earth Observation	Multispectral Imaging	LEO	0	668	679	7.808617874636189E-4	98.1	95	800	2023-04-14T22:00:00Z	5	TÜBİTAK Space Technologies Research Institute	Turkey	Vandenberg AFB	Falcon 9	Turkey's first earth observation satellite.
Improved Trumpet 4 (NROL-22, National Reconnaissance Office Launch-22, SBIRS HEO-1, Twins 1, USA 184)	USA 184	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	Elliptical	0	1111	37564	0.7089954293494116	63	684	4000	2006-06-27T22:00:00Z		National Reconnaissance Laboratory	USA	Vandenberg AFB	Delta 4	Speculation on purpose - HEO indicates possible SBIRS-HEO test payload; may also carry NASA's TWINS-A science payload to map the Earth's magnetosphere.
Improved Trumpet 5 (NROL-28, National Reconnaissance Office Launch-28, SBIRS HEO-2, Twins 2, USA 200)	USA 200	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	Elliptical	0	1112	37580	0.7090527298180122	63.56	684	4200	2008-03-12T23:00:00Z		National Reconnaissance Laboratory	USA	Vandenberg AFB	Atlas 5	Reported to be carrying signals intelligence and early warning payloads.
Improved Trumpet 6 (NROL-35, National Reconnaissance Office Launch-35, SBIRS HEO-3, USA 259)	USA 259	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	Elliptical	0	2103	37746	0.6777653121375192	62.85	707.55	4200	2014-12-12T23:00:00Z		National Reconnaissance Laboratory	USA	Vandenberg AFB	Atlas 5	NROL-35 will not carry a TWINS payload, it is likely that it will play host to the third SBIRS-HEO instrument.
Improved Trumpet 7 (NROL-42, National Reconnaissance Office Launch-42, SBIRS HEO-4, USA 278)	USA 278	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	Elliptical	0	1738	38111	0.6916465420525205	63.8	707.7	8000	2017-09-23T22:00:00Z		National Reconnaissance Laboratory	USA	Vandenberg AFB	Atlas 5	NROL surveillance of satellites in Elliptical.
INMARSAT 3 F3	INMARSAT 3 F3	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	178.2	35761	35810	5.811815777300708E-4	0.09	1436.07	2074	1996-12-17T23:00:00Z	13	Lockheed Martin Commercial Space Systems	USA	Cape Canaveral	Atlas	Broadcasting, business services, mobile communications; demand assigned L-band transponders; Pacific Ocean region.
INMARSAT 3 F5	INMARSAT 3 F5	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	25.07	35769	35803	4.032640667995066E-4	0.04	1436.07	2000	1998-02-03T23:00:00Z	13	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 44L	Broadcasting, business services, mobile communications; demand assigned L-band transponders; back-up and leased-capacity.
INMARSAT 4 F1	INMARSAT 4 F1	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	63.96	35772	35799	3.202429101777941E-4	2.3	1436.08	5959	2005-03-10T23:00:00Z	15	EADS Astrium	France/UK/Germany	Cape Canaveral	Atlas 5	Nearly the size of a double-decker bus; more than 600 channels.
INMARSAT 4 F2	INMARSAT 4 F2	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	-52.76	35773	35800	3.2023531365269885E-4	2.33	1436.11	5458	2005-11-07T23:00:00Z	15	EADS Astrium	France/UK/Germany	Sea Launch Odyssey	Zenit 3SL	Nearly the size of a double-decker bus; more than 600 channels.
INMARSAT 4 F3	INMARSAT 4 F3	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	-97.65	35775	35798	2.727930449634101E-4	3.01	1436.1	5960	2008-08-17T22:00:00Z	15	EADS Astrium	France/UK/Germany	Baikonur Cosmodrome	Proton M	200 spot-beams to relay messages from mobile phones based on land, sea, or air.
INMARSAT 4-A F4 (Alphasat I-XL)	INMARSAT 4-A F4	United Kingdom/ESA	INMARSAT, Ltd./European Space Agency (ESA)	Government/Commercial	Communications/Technology Development		GEO	25	35786	35787	1.1860567172322181E-5	0.02	1436.09	6650	2013-07-24T22:00:00Z	15	Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5 ECA	Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.
INMARSAT 5 F1	INMARSAT 5 F1	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	60.3	35784	35790	7.116255900562184E-5	0.06	1436.13	6070	2013-12-07T23:00:00Z	15	Boeing Corp.	USA	Baikonur Cosmodrome	Proton M	Support for the Broadband Global Area Network (B-GAN) for internet and intranet use, video on demand, video-conferencing, fax, e-mail, telephone and high-speed LAN access.
INMARSAT 5 F2	INMARSAT 5 F2	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	-55	35784	35789	5.93028358616109E-5	0.03	1436	6105	2015-01-31T23:00:00Z	15	Boeing Corp.	USA	Baikonur Cosmodrome	Proton M	
INMARSAT 5 F3	INMARSAT 5 F3	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	180	35780	35780	0	0	1436.1	6100	2015-08-27T22:00:00Z	15	Boeing Corp.	USA	Baikonur Cosmodrome	Proton M	Part of Global Xpress segment.
INMARSAT 5 F4	INMARSAT 5 F4	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	83.5	35782	35789	8.30259396757244E-5	0	1436.08	6086	2017-05-14T22:00:00Z	15	Boeing Corp.	USA	Cape Canaveral	Falcon 9	4th satellite in Global Xpress system.
INMARSAT 5 F5	INMARSAT 5 F5	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	11	35672	35686	1.66472448809722E-4	0.08	1430	4007	2019-11-25T23:00:00Z	15	Thales Alenia Space	France	Guiana Space Center	Ariane 5 ECA	
INMARSAT 6 F1	INMARSAT 6 F1	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	60	35785	35786	1.1860848525103486E-5	0	1436.1	5470	2021-12-21T23:00:00Z	15	Airbus Defence and Space	France/UK/Germany/Spain	Tanegashima Space Center	H2A	
INMARSAT 6F2	INMARSAT 6F2	United Kingdom	INMARSAT, Ltd.	Commercial	Communications		GEO	28	35785	35786	1.1860848525103486E-5	0	1436.1	5465	2023-02-17T23:00:00Z	15	Airbus Defence and Space	UK/France/Germany/Spain	Cape Canaveral	Falcon 9	
INNOSat-2 (Innovation Satellite-2)	INNOSat-2	Malaysia	Astronautic Technology Sdn. Bhd (ATSB)	Government	Technology Development		LEO	0	476	500	0.0017497812773403325	97.5	95	4	2018-11-28T23:00:00Z		ATSB	Malaysia	Satish Dhawan Space Centre	PSLV	
INS-1A (ISRO Nano Satellite)	INS-1A	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Optical Imaging	LEO	0	496	508	8.731082654249127E-4	97.5	94.6	8	2017-02-14T23:00:00Z		ISRO Satellite Center	India	Satish Dhawan Space Centre	PSLV XL	Observe Earth's surface, atmosphere and the conditions in the harsh environment of space.
INS-1B (ISRO Nano Satellite)	INS-1B	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Optical Imaging	LEO	0	496	508	8.731082654249127E-4	97.5	94.6	8	2017-02-14T23:00:00Z		ISRO Satellite Center	India	Satish Dhawan Space Centre	PSLV XL	Observe Earth's surface, atmosphere and the conditions in the harsh environment of space.
INS-1C (ISRO Nano Satellite)	INS-1C	India	Indian Space Research Organization (ISRO)	Government	Technology Development		LEO	0	495	508	9.45936112930219E-4	97.5	94.6	5	2018-01-10T23:00:00Z	0.5	ISRO Satellite Center	India	Satish Dhawan Space Centre	PSLV	Development of a platform for multiple uses.
INS-2TD	INS-2TD	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Thermal Imaging	LEO	0	520	533	9.42507068803016E-4	97.5	94.6	17	2022-02-13T23:00:00Z		ISRO Satellite Center	India	Satish Dhawan Space Centre	PSLV-XL	Technology demonstration of thermal imaging.
INSAT 3D (Indian National Satellite)	INSAT 3D	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Meteorology	GEO	82	35782	35791	1.0674510455089963E-4	0.24	1436.09	2090	2013-07-24T22:00:00Z		ISRO Satellite Center	India	Guiana Space Center	Ariane 5 ECA	Advanced meteorological payloads plus a Data Relay Transponder and a Satellite Aided Search & Rescue payload
INSAT 3DR (Indian National Satellite)	INSAT 3DR	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Meteorology	GEO	74	35722	35851	0.0015300131652295614	0.03	1436.1	2200	2016-09-07T22:00:00Z	10	ISRO Satellite Center	India	Satish Dhawan Space Centre	GSLV Mk.2	Carries color and infrared cameras to image storms day and night, and a sounder to collect temperature, humidity and ozone data in different layers of the atmosphere. The satellite will also relay observations from remote weather station and ocean buoys to forecast centers, and monitor for distress signals from ships, airplanes and others in need of rescue.
InspireSat-1	InspireSat-1	USA/India/Singapore/Taiwan	University of Colorado's Laboratory for Atmospheric and Space Physics/Indian Institute of Space Science and Technology	Civil/Government	Earth Science		LEO	0	520	533	9.42507068803016E-4	97.6	95.4	8	2022-02-13T23:00:00Z		University of Colorado's Laboratory for Atmospheric and Space Physics/Indian Institute of Space Science and Technology	India	Satish Dhawan Space Centre	PSLV XL	Study the dynamics of Earth's ionosphere, a layer of the upper atmosphere where the influences of terrestrial weather and space weather come together.
InspireSat-7	InspireSat-7	France	NRS Lab. Atmospheres, Milieux, Observations Spatiales (Verrieres)	Government	Earth/Space Observation		LEO	0	487	507	0.0014562399883500802	97.4	95.4	3	2023-04-14T22:00:00Z		NRS Lab Atmospheres/Innovative Solutions In Space B.V.	France/Netherlands	Vandenberg AFB	Falcon 9	Designed for Earth and Sun observation.
